contractor_name,license_number,specialty,permit_count,total_project_value
STEFAN HANSMIRE BUILDERS,STEFAHB825NL,General Contractor,6,463496
TOTH CONSTRUCTION INC,TOTHCI*159NA,General Contractor,6,820000
TRUE SCAPES LLC,TRUESSL887PD,General Contractor,6,292000
UNIQUE HOME CONSTRUCTION LLC,UNIQUHC815J4,General Contractor,6,938726
WEST SUMMIT GNRL CONTRNG LLC,WESTSSG780JL,General Contractor,6,715705
WREN CONSTRUCTION INC,WRENCI*013B6,General Contractor,6,405000
ZOLTAN FARKAS CONST LLC,ZOLTAFC976QL,General Contractor,6,422000
ABODE BUILDERS LLC,ABODEBL981NT,General Contractor,5,520523
ACOM CONSULTING INC,ACOMCCI801C1,General Contractor,5,37640
AE EXCAVATION LLC,AEEXCEL801DF,General Contractor,5,2557756
ALL CITY FENCE CO,ALLCICF927KW,General Contractor,5,1130675
AMBROSE CONSTRUCTION INC,AMBROCI937N2,General Contractor,5,1155908
ARMATA CONSTRUCTION SERVS LLC,ARMATCS845KU,General Contractor,5,414234
AVA HOMES LLC,AVAHOHL888KU,General Contractor,5,2678007
AVID BUILDERS INC,AVIDBBI942P4,General Contractor,5,1296723
BAILEY & BENDIKSEN RST/RML LLC,BAILEBR826J4,General Contractor,5,289000
BATT + LEAR INC,BATTLLI962JF,General Contractor,5,627775
BAYLEY CONSTRUCTION LP,BAYLECL836JJ,General Contractor,5,1100000
BB-BUILDERS-PRO LLC,BBBUIBP771N4,General Contractor,5,867084
BC CONSTRUCTION GROUP LLC,BCCONCG803CC,General Contractor,5,1813245
BETTER IMAGE LLC,BETTEIL908PK,General Contractor,5,1307557
BLOCK II LLC,BLOCKIL873K8,General Contractor,5,2065405
BODHI BUILDERS LLC,BODHIBL803RS,General Contractor,5,647611
BUNGALOW BUILDING CORPORATION,BUNGABC823PB,General Contractor,5,2329124
C S CONSTRUCTION,CSCONSC902C6,General Contractor,5,373589
CRAFTSMAN BUILDERS SEATTLE LLC,CRAFTBS827QE,General Contractor,5,1527219
DEPCO LLC,DEPCOL*776MU,General Contractor,5,192000
DICKSON COMPANY,DICKSC*858RZ,General Contractor,5,50558000
